"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"ex1_1.nlogo"
"Simple MIS"
"04/26/2024 17:29:44:560 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","number-of-nodes","circle-layout?","mode","edge-factor","[step]","msg","bits","max [reps] of turtles"
"278","150","true","Luby's","15","5","10247","74074","5"
"279","300","true","Luby's","15","8","25625","210863","8"
"281","50","true","Biology inspired","15","1","281","281","6"
"282","150","true","Biology inspired","15","1","882","882","8"
"283","300","true","Biology inspired","15","1","1946","1946","9"
"276","550","true","Simple MIS","15","111","57787","57787","111"
"285","50","true","Biology inspired Enhanced","15","1","308","308","1"
"280","550","true","Luby's","15","7","70754","644094","7"
"286","150","true","Biology inspired Enhanced","15","3","1126","1126","3"
"287","300","true","Biology inspired Enhanced","15","3","2231","2231","3"
"289","50","true","Simple MIS","3","20","1310","1310","20"
"290","150","true","Simple MIS","3","37","3169","3169","37"
"291","300","true","Simple MIS","3","72","8598","8598","72"
"292","550","true","Simple MIS","3","70","17329","17329","70"
"293","50","true","Luby's","3","3","865","4882","3"
"294","150","true","Luby's","3","5","3152","22785","5"
"295","300","true","Luby's","3","5","6728","55363","5"
"296","550","true","Luby's","3","6","14990","136458","6"
"297","50","true","Biology inspired","3","1","156","156","6"
"298","150","true","Biology inspired","3","1","591","591","8"
"299","300","true","Biology inspired","3","1","1254","1254","9"
"288","550","true","Biology inspired Enhanced","15","4","4432","4432","4"
"301","50","true","Biology inspired Enhanced","3","4","203","203","4"
"284","550","true","Biology inspired","15","1","4088","4088","10"
"302","150","true","Biology inspired Enhanced","3","4","633","633","4"
"303","300","true","Biology inspired Enhanced","3","4","1431","1431","4"
"305","50","true","Simple MIS","7","30","2833","2833","30"
"306","150","true","Simple MIS","7","39","4962","4962","39"
"300","550","true","Biology inspired","3","1","2330","2330","10"
"304","550","true","Biology inspired Enhanced","3","8","2566","2566","8"
"309","50","true","Luby's","7","5","2381","13438","5"
"310","150","true","Luby's","7","6","7354","53161","6"
"307","300","true","Simple MIS","7","91","22339","22339","91"
"308","550","true","Simple MIS","7","112","25339","25339","112"
"313","50","true","Biology inspired","7","1","256","256","6"
"314","150","true","Biology inspired","7","1","805","805","8"
"311","300","true","Luby's","7","7","13428","110497","7"
"315","300","true","Biology inspired","7","1","1626","1626","9"
"317","50","true","Biology inspired Enhanced","7","2","254","254","2"
"318","150","true","Biology inspired Enhanced","7","3","923","923","3"
"312","550","true","Luby's","7","8","31994","291251","8"
"319","300","true","Biology inspired Enhanced","7","3","2066","2066","3"
"321","50","true","Simple MIS","15","9","1017","1017","9"
"322","150","true","Simple MIS","15","40","11241","11241","40"
"323","300","true","Simple MIS","15","105","28971","28971","105"
"320","550","true","Biology inspired Enhanced","7","11","3503","3503","11"
"325","50","true","Luby's","15","3","3140","17722","3"
"316","550","true","Biology inspired","7","1","2926","2926","10"
"326","150","true","Luby's","15","7","23337","168699","7"
"327","300","true","Luby's","15","7","23159","190571","7"
"329","50","true","Biology inspired","15","1","222","222","6"
"324","550","true","Simple MIS","15","120","49990","49990","120"
"330","150","true","Biology inspired","15","1","893","893","8"
"328","550","true","Luby's","15","8","47910","436139","8"
"333","50","true","Biology inspired Enhanced","15","2","373","373","2"
"334","150","true","Biology inspired Enhanced","15","3","1121","1121","3"
"331","300","true","Biology inspired","15","1","1948","1948","9"
"335","300","true","Biology inspired Enhanced","15","4","2415","2415","4"
"337","50","true","Simple MIS","3","18","1478","1478","18"
"338","150","true","Simple MIS","3","31","4490","4490","31"
"339","300","true","Simple MIS","3","38","8110","8110","38"
"340","550","true","Simple MIS","3","57","15988","15988","57"
"341","50","true","Luby's","3","5","1037","5853","5"
"342","150","true","Luby's","3","5","3684","26631","5"
"343","300","true","Luby's","3","5","6629","54549","5"
"332","550","true","Biology inspired","15","1","3818","3818","10"
"345","50","true","Biology inspired","3","1","196","196","6"
"346","150","true","Biology inspired","3","1","659","659","8"
"336","550","true","Biology inspired Enhanced","15","8","4194","4194","8"
"344","550","true","Luby's","3","6","12439","113236","6"
"349","50","true","Biology inspired Enhanced","3","2","232","232","2"
"350","150","true","Biology inspired Enhanced","3","4","593","593","4"
"347","300","true","Biology inspired","3","1","1301","1301","9"
"351","300","true","Biology inspired Enhanced","3","4","1335","1335","4"
"353","50","true","Simple MIS","7","28","1815","1815","28"
"354","150","true","Simple MIS","7","59","8285","8285","59"
"355","300","true","Simple MIS","7","125","11747","11747","125"
"348","550","true","Biology inspired","3","1","2184","2184","10"
"352","550","true","Biology inspired Enhanced","3","8","2466","2466","8"
"357","50","true","Luby's","7","6","2074","11705","6"
"358","150","true","Luby's","7","6","5444","39354","6"
"359","300","true","Luby's","7","6","13176","108423","6"
"361","50","true","Biology inspired","7","1","233","233","6"
"362","150","true","Biology inspired","7","1","856","856","8"
"356","550","true","Simple MIS","7","74","32472","32472","74"
"363","300","true","Biology inspired","7","1","1442","1442","9"
"365","50","true","Biology inspired Enhanced","7","3","299","299","3"
"366","150","true","Biology inspired Enhanced","7","7","938","938","7"
"360","550","true","Luby's","7","6","28040","255256","6"
"367","300","true","Biology inspired Enhanced","7","3","2035","2035","3"
"369","50","true","Simple MIS","15","101","3355","3355","101"
"370","150","true","Simple MIS","15","203","30462","30462","203"
"368","550","true","Biology inspired Enhanced","7","4","3500","3500","4"
"364","550","true","Biology inspired","7","1","3143","3143","10"
"373","50","true","Luby's","15","3","6177","34862","3"
"374","150","true","Luby's","15","5","11076","80066","5"
"371","300","true","Simple MIS","15","108","31745","31745","108"
"375","300","true","Luby's","15","6","22257","183149","6"
"377","50","true","Biology inspired","15","1","275","275","6"
"378","150","true","Biology inspired","15","1","887","887","8"
"372","550","true","Simple MIS","15","293","55468","55468","293"
"379","300","true","Biology inspired","15","1","2011","2011","9"
"381","50","true","Biology inspired Enhanced","15","2","277","277","2"
"382","150","true","Biology inspired Enhanced","15","1","1007","1007","1"
"376","550","true","Luby's","15","7","47268","430294","7"
"383","300","true","Biology inspired Enhanced","15","4","2550","2550","4"
"385","50","true","Simple MIS","3","40","2191","2191","40"
"386","150","true","Simple MIS","3","39","3950","3950","39"
"387","300","true","Simple MIS","3","64","7758","7758","64"
"384","550","true","Biology inspired Enhanced","15","8","4162","4162","8"
"389","50","true","Luby's","3","3","874","4933","3"
"388","550","true","Simple MIS","3","61","20442","20442","61"
"390","150","true","Luby's","3","6","3940","28482","6"
"391","300","true","Luby's","3","5","7604","62572","5"
"393","50","true","Biology inspired","3","1","208","208","6"
"394","150","true","Biology inspired","3","1","592","592","8"
"395","300","true","Biology inspired","3","1","1229","1229","9"
"392","550","true","Luby's","3","6","13021","118534","6"
"397","50","true","Biology inspired Enhanced","3","4","222","222","4"
"398","150","true","Biology inspired Enhanced","3","5","668","668","5"
"380","550","true","Biology inspired","15","1","3764","3764","10"
"399","300","true","Biology inspired Enhanced","3","8","1365","1365","8"
"401","50","true","Simple MIS","7","72","2683","2683","72"
"402","150","true","Simple MIS","7","34","6830","6830","34"
"396","550","true","Biology inspired","3","1","2356","2356","10"
